en-gb,cy
United Kingdom,Y Deyrnas Unedig
Ireland,Iwerddon
Afghanistan,Affganistan
Albania,Albania
Algeria,Algeria
Andorra,Andorra
Angola,Angola
Antigua and Barbuda,Antigua a Barbuda
Argentina,Ariannin
Armenia,Armenia
Australia,Awstralia
Austria,Awstria
Azerbaijan,Azerbaijan
Bahrain,Bahrain
Bangladesh,Bangladesh
Barbados,Barbados
Belarus,Belarws
Belgium,Gwlad Belg
Belize,Belize
Benin,Benin
Bhutan,Bhutan
Bolivia,Bolifia
Bosnia and Herzegovina,Bosnia a Herzegovina
Botswana,Botswana
Brazil,Brasil
Brunei,Brunei
Bulgaria,Bwlgaria
Burkina Faso,Burkina Faso
Burundi,Burundi
Cambodia,Cambodia
Cameroon,Cameroon
Canada,Canada
Cape Verde,Cabo Verde
Central African Republic,Gweriniaeth Canol Affrica
Chad,Chad
Chile,Chile
China,Tsieina
Colombia,Colombia
Comoros,Comoros
Congo,Congo
Congo (Democratic Republic),Congo (Gweriniaeth Ddemocrataidd)
Costa Rica,Costa Rica
Croatia,Croatia
Cuba,Cuba
Cyprus,Cyprus
Czech Republic or Czechia,Czechia
Denmark,Denmarc
Djibouti,Djibouti
Dominica,Dominica
Dominican Republic,Gweriniaeth Dominica
East Timor,Dwyrain Timor
Ecuador,Ecuador
Egypt,Yr Aifft
El Salvador,El Salvador
Equatorial Guinea,Guinea Gyhydeddol
Eritrea,Eritrea
Estonia,Estonia
Eswatini,Eswatini
Ethiopia,Ethiopia
Fiji,Ffiji
Finland,Y Ffindir
France,Ffrainc
Gabon,Gabon
Georgia,Georgia
Germany,Yr Almaen
Ghana,Ghana
Greece,Gwlad Groeg
Grenada,Grenada
Guatemala,Guatemala
Guinea,Guinea
Guinea-Bissau,Guinea-Bissau
Guyana,Guyana
Haiti,Haiti
Honduras,Honduras
Hong Kong,Hong Kong
Hungary,Hwngari
Iceland,Gwlad yr Iâ
India,India
Indonesia,Indonesia
Iran,Iran
Iraq,Irac
Israel,Israel
Italy,Yr Eidal
Ivory Coast,Y Traeth Ifori
Jamaica,Jamaica
Japan,Japan
Jordan,Gwlad yr Iorddonen
Kazakhstan,Kazakhstan
Kenya,Kenya
Kiribati,Kiribati
Kosovo,Kosovo
Kuwait,Kuwait
Kyrgyzstan,Kyrgyzstan
Laos,Laos
Latvia,Latfia
Lebanon,Libanus
Lesotho,Lesotho
Liberia,Liberia
Libya,Libya
Liechtenstein,Liechtenstein
Lithuania,Lithwania
Luxembourg,Lwcsembwrg
Macao,Macao
Madagascar,Madagasgar
Malawi,Malawi
Malaysia,Malaysia
Maldives,Maldives
Mali,Mali
Malta,Malta
Marshall Islands,Ynysoedd Marshall
Mauritania,Mauritania
Mauritius,Mauritius
Mexico,Mecsico
Micronesia,Micronesia
Moldova,Moldofa
Monaco,Monaco
Mongolia,Mongolia
Montenegro,Montenegro
Morocco,Moroco
Mozambique,Mozambique
Myanmar (Burma),Myanmar (Burma)
Namibia,Namibia
Nauru,Nauru
Nepal,Nepal
The Netherlands,Yr Iseldiroedd
New Zealand,Seland Newydd
Nicaragua,Nicaragua
Niger,Niger
Nigeria,Nigeria
North Cyprus,
North Korea,Gogledd Korea
North Macedonia,Gogledd Macedonia
Norway,Norwy
Occupied Palestinian Territories,Tiriogaethau Meddianedig Palesteina
Oman,Oman
Pakistan,Pacistan
Palau,Palau
Panama,Panama
Papua New Guinea,Papua Guinea Newydd
Paraguay,Paraguay
Peru,Periw
Philippines,Pilipinas (Ynysoedd Philippines)
Poland,Gwlad Pwyl
Portugal,Portiwgal
Qatar,Qatar
Romania,Rwmania
Russia,Rwsia
Rwanda,Rwanda
Samoa,Samoa
San Marino,San Marino
São Tomé and Príncipe,Sao Tome a Principe
Saudi Arabia,Saudi Arabia
Senegal,Senegal
Serbia,Serbia
Seychelles,Seychelles
Sierra Leone,Sierra Leone
Singapore,Singapore
Slovakia,Slofacia
Slovenia,Slofenia
Solomon Islands,Ynysoedd Solomon
Somalia,Somalia
South Africa,De Affrica
South Korea,De Korea
South Sudan,De Sudan
Spain,Sbaen (gan gynnwys Ynysoedd Baleares)
Sri Lanka,Sri Lanka
St Kitts and Nevis,St Kitts a Nevis
St Lucia,St Lucia
St Vincent and the Grenadines,St Vincent a'r Grenadines
Sudan,Sudan
Suriname,Suriname
Sweden,Sweden
Switzerland,Y Swistir
Syria,Syria
Taiwan,Taiwan
Tajikistan,Tajikistan
Tanzania,Tanzania
Thailand,Gwlad Thai
The Bahamas,Y Bahamas
The Gambia,Y Gambia
Togo,Togo
Tonga,Tonga
Trinidad and Tobago,Trinidad a Tobago
Tunisia,Tunisia
Turkey,Twrci
Turkmenistan,Turkmenistan
Tuvalu,Tuvalu
Uganda,Uganda
Ukraine,Ukrain
United Arab Emirates,Yr Emiraethau Arabaidd Unedig
United States of America,Unol Daleithiau America
Uruguay,Uruguay
Uzbekistan,Uzbekistan
Vanuatu,Vanuatu
Vatican City,Dinas y Fatican
Venezuela,Venezuela
Vietnam,Fiet-nam
Yemen,Yemen
Zambia,Zambia
Zimbabwe,Zimbabwe